Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[VIP|CWTN],Blades,Michigan Mallards (MAL),Goals,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[MAL],Bonkerz,Michigan Mallards (MAL),Goals,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[OKG],Greyghost,Athens Alphas (AA),Goals,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[OKG],Papa Shieldz,Athens Alphas (AA),Goals,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[MAL],Bonkerz,Michigan Mallards (MAL),Saves,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[OKG],Papa Shieldz,Athens Alphas (AA),Saves,6.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),Ehlasteer,Lasteer,Athens Alphas (AA),Saves,2.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[MAL],Mike Jones,Michigan Mallards (MAL),Saves,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[VIP|CWTN],Blades,Michigan Mallards (MAL),Saves,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[OKG],Greyghost,Athens Alphas (AA),Saves,1.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[OKG],Papa Shieldz,Athens Alphas (AA),Shots,0.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[OKG],Greyghost,Athens Alphas (AA),Shots,4.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[MAL],Bonkerz,Michigan Mallards (MAL),Shots,5.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),Ehlasteer,Lasteer,Athens Alphas (AA),Shots,3.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[VIP|CWTN],Blades,Michigan Mallards (MAL),Shots,6.00,
Open Division,Wed 08 Jul 2020 09:00 PM,Michigan Mallards (MAL),Athens Alphas (AA),[MAL],Mike Jones,Michigan Mallards (MAL),Shots,5.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[SCS],SooperDooperKyle,Carolina Smokers (SMK),Assists,4.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[QUE],Green,Oklahoma Exotics (OKL),Assists,1.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[BOS],Kacktus,Carolina Smokers (SMK),Assists,2.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[OKL],BooYAH2g1c [C],Oklahoma Exotics (OKL),Assists,1.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[CLP],LemonBond,Carolina Smokers (SMK),Assists,5.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[OKL],Dolen,Oklahoma Exotics (OKL),Assists,1.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[QUE],Green,Oklahoma Exotics (OKL),Goals,2.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[BOS],Kacktus,Carolina Smokers (SMK),Goals,9.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[OKL],BooYAH2g1c [C],Oklahoma Exotics (OKL),Goals,2.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[OKL],Dolen,Oklahoma Exotics (OKL),Goals,0.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[SCS],SooperDooperKyle,Carolina Smokers (SMK),Goals,1.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[CLP],LemonBond,Carolina Smokers (SMK),Goals,6.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[BOS],Kacktus,Carolina Smokers (SMK),Saves,0.00,
Intermediate Division,Wed 08 Jul 2020 09:00 PM,Oklahoma Exotics (OKL),Carolina Smokers (SMK),[OKL],BooYAH2g1c [C],Oklahoma Exotics (OKL),Saves,8.00,
