Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[CCO],Parad1s,Choco Coco (CCO),Goals,2.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[CCO],Papillonos,Choco Coco (CCO),Goals,3.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[ORL],Mace,Orlando Otters (ORL),Goals,1.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[CCO],blz,Choco Coco (CCO),Saves,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[ORL],Mace,Orlando Otters (ORL),Saves,1.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[CCO],Parad1s,Choco Coco (CCO),Saves,2.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[CCO],Papillonos,Choco Coco (CCO),Saves,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[PRO],Chaser,Orlando Otters (ORL),Saves,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[BB],FlaccidLettuce,Orlando Otters (ORL),Saves,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[CCO],blz,Choco Coco (CCO),Shots,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[CCO],Papillonos,Choco Coco (CCO),Shots,3.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[PRO],Chaser,Orlando Otters (ORL),Shots,0.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[ORL],Mace,Orlando Otters (ORL),Shots,2.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[BB],FlaccidLettuce,Orlando Otters (ORL),Shots,3.00,
Open Division,Wed 09 Sep 2020 09:00 PM,Choco Coco (CCO),Orlando Otters (ORL),[CCO],Parad1s,Choco Coco (CCO),Shots,3.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[NEH],Reno,Richmond Rats (RR),Assists,1.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[BKLN],scodz,Brooklyn Bandits (BKLN),Assists,2.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[MAL],Derek,Brooklyn Bandits (BKLN),Assists,2.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[COW],Kspyre,Richmond Rats (RR),Assists,2.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[BKLN],qslvr,Brooklyn Bandits (BKLN),Assists,3.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[RR],Rath,Richmond Rats (RR),Assists,0.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[RR],Rath,Richmond Rats (RR),Goals,0.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[BKLN],scodz,Brooklyn Bandits (BKLN),Goals,0.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[BKLN],qslvr,Brooklyn Bandits (BKLN),Goals,3.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[MAL],Derek,Brooklyn Bandits (BKLN),Goals,5.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[NEH],Reno,Richmond Rats (RR),Goals,3.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[COW],Kspyre,Richmond Rats (RR),Goals,1.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[COW],Kspyre,Richmond Rats (RR),Saves,1.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[MAL],Derek,Brooklyn Bandits (BKLN),Saves,0.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[BKLN],scodz,Brooklyn Bandits (BKLN),Saves,2.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[BKLN],qslvr,Brooklyn Bandits (BKLN),Saves,4.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[NEH],Reno,Richmond Rats (RR),Saves,3.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[RR],Rath,Richmond Rats (RR),Saves,1.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[NEH],Reno,Richmond Rats (RR),Shots,5.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[BKLN],qslvr,Brooklyn Bandits (BKLN),Shots,5.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[MAL],Derek,Brooklyn Bandits (BKLN),Shots,7.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[RR],Rath,Richmond Rats (RR),Shots,1.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[BKLN],scodz,Brooklyn Bandits (BKLN),Shots,1.00,
Pro Division,Wed 09 Sep 2020 09:00 PM,Richmond Rats (RR),Brooklyn Bandits (BKLN),[COW],Kspyre,Richmond Rats (RR),Shots,4.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[CLP],Occelloth,Columbus Clappers (CLP),Assists,2.00,
Pro Division,Wed 09 Sep 2020 09:30 PM,Columbus Clappers (CLP),Brooklyn Bandits (BKLN),[MAL],Derek,Brooklyn Bandits (BKLN),Assists,0.00,
