Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SMK],DENN1S,Richmond Rats (RR),Assists,5.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[NAP],Sonicshadow555,Seattle Kraken (SEA2),Assists,0.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[BOLT],Spleen,Seattle Kraken (SEA2),Assists,3.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[TTV],Get Woke,Seattle Kraken (SEA2),Assists,0.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[COW],Kspyre,Richmond Rats (RR),Assists,2.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SCS],SooperDooperKyle,Richmond Rats (RR),Assists,3.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[COW],Kspyre,Richmond Rats (RR),Goals,7.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SCS],SooperDooperKyle,Richmond Rats (RR),Goals,2.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SMK],DENN1S,Richmond Rats (RR),Goals,3.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[TTV],Get Woke,Seattle Kraken (SEA2),Goals,2.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[NAP],Sonicshadow555,Seattle Kraken (SEA2),Goals,1.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[BOLT],Spleen,Seattle Kraken (SEA2),Goals,3.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[TTV],Get Woke,Seattle Kraken (SEA2),Points,2.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[COW],Kspyre,Richmond Rats (RR),Points,9.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[BOLT],Spleen,Seattle Kraken (SEA2),Points,6.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SCS],SooperDooperKyle,Richmond Rats (RR),Points,5.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SMK],DENN1S,Richmond Rats (RR),Points,8.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[NAP],Sonicshadow555,Seattle Kraken (SEA2),Points,1.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SCS],SooperDooperKyle,Richmond Rats (RR),Saves,0.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[BOLT],Spleen,Seattle Kraken (SEA2),Saves,2.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SMK],DENN1S,Richmond Rats (RR),Saves,1.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[TTV],Get Woke,Seattle Kraken (SEA2),Saves,1.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[COW],Kspyre,Richmond Rats (RR),Saves,1.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[NAP],Sonicshadow555,Seattle Kraken (SEA2),Saves,4.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[NAP],Sonicshadow555,Seattle Kraken (SEA2),Shots,1.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[COW],Kspyre,Richmond Rats (RR),Shots,9.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[BOLT],Spleen,Seattle Kraken (SEA2),Shots,4.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[TTV],Get Woke,Seattle Kraken (SEA2),Shots,3.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SCS],SooperDooperKyle,Richmond Rats (RR),Shots,5.00,
Open Division,Mon 16 Dec 2019 06:00 PM,Seattle Kraken (SEA2),Richmond Rats (RR),[SMK],DENN1S,Richmond Rats (RR),Shots,5.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[PFC],Shiba,Denver Omelets (DEN),Assists,1.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[VAE],Hellhaunt,Miami Vice (MIA),Assists,0.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[DEN],Balucha,Denver Omelets (DEN),Assists,1.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[RR],Rath,Miami Vice (MIA),Assists,0.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[SCS],Seppy,Miami Vice (MIA),Assists,1.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[BKLN],scodz,Denver Omelets (DEN),Assists,1.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[RR],Rath,Miami Vice (MIA),Goals,1.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[BKLN],scodz,Denver Omelets (DEN),Goals,1.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[SCS],Seppy,Miami Vice (MIA),Goals,0.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[VAE],Hellhaunt,Miami Vice (MIA),Goals,0.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[PFC],Shiba,Denver Omelets (DEN),Goals,2.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[DEN],Balucha,Denver Omelets (DEN),Goals,1.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[RR],Rath,Miami Vice (MIA),Points,1.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[PFC],Shiba,Denver Omelets (DEN),Points,3.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[VAE],Hellhaunt,Miami Vice (MIA),Points,0.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[DEN],Balucha,Denver Omelets (DEN),Points,2.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[BKLN],scodz,Denver Omelets (DEN),Points,2.00,
Open Division,Tue 17 Dec 2019 09:00 PM,Denver Omelets (DEN),Miami Vice (MIA),[SCS],Seppy,Miami Vice (MIA),Points,1.00,
