Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[OKL],Dolen,Oklahoma Exotics (OKL),Assists,3.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[OKL],BooYAH2g1c [C],Oklahoma Exotics (OKL),Goals,3.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[HOT],Xectro,San Francisco Hotpockets (HOT),Goals,0.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[OKL],Dolen,Oklahoma Exotics (OKL),Goals,3.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[HOT],YOBeastyKid,San Francisco Hotpockets (HOT),Goals,0.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[QUE],Green,Oklahoma Exotics (OKL),Goals,7.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),Hot,CCPizza,San Francisco Hotpockets (HOT),Goals,0.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),Hot,CCPizza,San Francisco Hotpockets (HOT),Saves,2.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[OKL],BooYAH2g1c [C],Oklahoma Exotics (OKL),Saves,0.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[HOT],Xectro,San Francisco Hotpockets (HOT),Saves,7.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[OKL],Dolen,Oklahoma Exotics (OKL),Saves,0.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[HOT],YOBeastyKid,San Francisco Hotpockets (HOT),Saves,11.00,
Open Division,Wed 06 May 2020 08:00 PM,Oklahoma Exotics (OKL),San Francisco Hotpockets (HOT),[QUE],Green,Oklahoma Exotics (OKL),Saves,1.00,
