Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Miami Muffins,Long Island Lightning,981750527153016903,901949665958834216,3.8,3,8,3.8: Miami Muffins vs Long Island Lightning,Pending
Ottawa Valley Puck Slappers,Vader Voltage Eastern,334537409134067723,775066600062844948,3.9,3,8,3.9: Ottawa Valley Puck Slappers vs Vader Voltage Eastern,Pending
Pittsburgh Volts,Yucatan Yetis,168851063896539138,672979403973853240,3.10,3,8,3.10: Pittsburgh Volts vs Yucatan Yetis,Pending
Beverly Hills Bobos,Barrie Bald Boys,268793849839747074,728437674305781851,3.11,3,9,3.11: Beverly Hills Bobos vs Barrie Bald Boys,Pending
Champaign Champagne,Miami Muffins,394270328496586754,981750527153016903,3.12,3,9,3.12: Champaign Champagne vs Miami Muffins,Pending
Long Island Lightning,Yucatan Yetis,901949665958834216,672979403973853240,3.13,3,9,3.13: Long Island Lightning vs Yucatan Yetis,Pending
Ottawa Valley Puck Slappers,Pittsburgh Volts,334537409134067723,168851063896539138,3.14,3,9,3.14: Ottawa Valley Puck Slappers vs Pittsburgh Volts,Pending
Vader Voltage Eastern,Boston Bobos,775066600062844948,493582123618271233,3.15,3,9,3.15: Vader Voltage Eastern vs Boston Bobos,Pending
Barrie Bald Boys,Vader Voltage Eastern,728437674305781851,775066600062844948,4.1,4,10,4.1: Barrie Bald Boys vs Vader Voltage Eastern,Pending
Boston Bobos,Ottawa Valley Puck Slappers,493582123618271233,334537409134067723,4.2,4,10,4.2: Boston Bobos vs Ottawa Valley Puck Slappers,Pending
Miami Muffins,Beverly Hills Bobos,981750527153016903,268793849839747074,4.3,4,10,4.3: Miami Muffins vs Beverly Hills Bobos,Pending
Pittsburgh Volts,Long Island Lightning,168851063896539138,901949665958834216,4.4,4,10,4.4: Pittsburgh Volts vs Long Island Lightning,Pending
Yucatan Yetis,Champaign Champagne,672979403973853240,394270328496586754,4.5,4,10,4.5: Yucatan Yetis vs Champaign Champagne,Pending
Beverly Hills Bobos,Yucatan Yetis,268793849839747074,672979403973853240,4.6,4,11,4.6: Beverly Hills Bobos vs Yucatan Yetis,Pending
Boston Bobos,Pittsburgh Volts,493582123618271233,168851063896539138,4.7,4,11,4.7: Boston Bobos vs Pittsburgh Volts,Pending
Champaign Champagne,Long Island Lightning,394270328496586754,901949665958834216,4.8,4,11,4.8: Champaign Champagne vs Long Island Lightning,Pending
Ottawa Valley Puck Slappers,Barrie Bald Boys,334537409134067723,728437674305781851,4.9,4,11,4.9: Ottawa Valley Puck Slappers vs Barrie Bald Boys,Pending
Vader Voltage Eastern,Miami Muffins,775066600062844948,981750527153016903,4.10,4,11,4.10: Vader Voltage Eastern vs Miami Muffins,Pending
Barrie Bald Boys,Boston Bobos,728437674305781851,493582123618271233,4.11,4,12,4.11: Barrie Bald Boys vs Boston Bobos,Pending
Long Island Lightning,Beverly Hills Bobos,901949665958834216,268793849839747074,4.12,4,12,4.12: Long Island Lightning vs Beverly Hills Bobos,Pending
Miami Muffins,Ottawa Valley Puck Slappers,981750527153016903,334537409134067723,4.13,4,12,4.13: Miami Muffins vs Ottawa Valley Puck Slappers,Pending
Pittsburgh Volts,Champaign Champagne,168851063896539138,394270328496586754,4.14,4,12,4.14: Pittsburgh Volts vs Champaign Champagne,Pending
Yucatan Yetis,Vader Voltage Eastern,672979403973853240,775066600062844948,4.15,4,12,4.15: Yucatan Yetis vs Vader Voltage Eastern,Pending
Barrie Bald Boys,Pittsburgh Volts,728437674305781851,168851063896539138,5.1,5,13,5.1: Barrie Bald Boys vs Pittsburgh Volts,Pending
Beverly Hills Bobos,Champaign Champagne,268793849839747074,394270328496586754,5.2,5,13,5.2: Beverly Hills Bobos vs Champaign Champagne,Pending
Boston Bobos,Miami Muffins,493582123618271233,981750527153016903,5.3,5,13,5.3: Boston Bobos vs Miami Muffins,Pending
Ottawa Valley Puck Slappers,Yucatan Yetis,334537409134067723,672979403973853240,5.4,5,13,5.4: Ottawa Valley Puck Slappers vs Yucatan Yetis,Pending
Vader Voltage Eastern,Long Island Lightning,775066600062844948,901949665958834216,5.5,5,13,5.5: Vader Voltage Eastern vs Long Island Lightning,Pending
Champaign Champagne,Vader Voltage Eastern,394270328496586754,775066600062844948,5.6,5,14,5.6: Champaign Champagne vs Vader Voltage Eastern,Pending
Long Island Lightning,Ottawa Valley Puck Slappers,901949665958834216,334537409134067723,5.7,5,14,5.7: Long Island Lightning vs Ottawa Valley Puck Slappers,Pending
Miami Muffins,Barrie Bald Boys,981750527153016903,728437674305781851,5.8,5,14,5.8: Miami Muffins vs Barrie Bald Boys,Pending
Pittsburgh Volts,Beverly Hills Bobos,168851063896539138,268793849839747074,5.9,5,14,5.9: Pittsburgh Volts vs Beverly Hills Bobos,Pending
Yucatan Yetis,Boston Bobos,672979403973853240,493582123618271233,5.10,5,14,5.10: Yucatan Yetis vs Boston Bobos,Pending
Barrie Bald Boys,Yucatan Yetis,728437674305781851,672979403973853240,5.11,5,15,5.11: Barrie Bald Boys vs Yucatan Yetis,Pending
Boston Bobos,Long Island Lightning,493582123618271233,901949665958834216,5.12,5,15,5.12: Boston Bobos vs Long Island Lightning,Pending
Ottawa Valley Puck Slappers,Champaign Champagne,334537409134067723,394270328496586754,5.13,5,15,5.13: Ottawa Valley Puck Slappers vs Champaign Champagne,Pending
Pittsburgh Volts,Miami Muffins,168851063896539138,981750527153016903,5.14,5,15,5.14: Pittsburgh Volts vs Miami Muffins,Pending
Vader Voltage Eastern,Beverly Hills Bobos,775066600062844948,268793849839747074,5.15,5,15,5.15: Vader Voltage Eastern vs Beverly Hills Bobos,Pending
Barrie Bald Boys,Long Island Lightning,728437674305781851,901949665958834216,6.1,6,16,6.1: Barrie Bald Boys vs Long Island Lightning,Pending
Boston Bobos,Champaign Champagne,493582123618271233,394270328496586754,6.2,6,16,6.2: Boston Bobos vs Champaign Champagne,Pending
Miami Muffins,Yucatan Yetis,981750527153016903,672979403973853240,6.3,6,16,6.3: Miami Muffins vs Yucatan Yetis,Pending
Ottawa Valley Puck Slappers,Beverly Hills Bobos,334537409134067723,268793849839747074,6.4,6,16,6.4: Ottawa Valley Puck Slappers vs Beverly Hills Bobos,Pending
Pittsburgh Volts,Vader Voltage Eastern,168851063896539138,775066600062844948,6.5,6,16,6.5: Pittsburgh Volts vs Vader Voltage Eastern,Pending
Beverly Hills Bobos,Boston Bobos,268793849839747074,493582123618271233,6.6,6,17,6.6: Beverly Hills Bobos vs Boston Bobos,Pending
Champaign Champagne,Barrie Bald Boys,394270328496586754,728437674305781851,6.7,6,17,6.7: Champaign Champagne vs Barrie Bald Boys,Pending
Long Island Lightning,Miami Muffins,901949665958834216,981750527153016903,6.8,6,17,6.8: Long Island Lightning vs Miami Muffins,Pending
Vader Voltage Eastern,Ottawa Valley Puck Slappers,775066600062844948,334537409134067723,6.9,6,17,6.9: Vader Voltage Eastern vs Ottawa Valley Puck Slappers,Pending
Yucatan Yetis,Pittsburgh Volts,672979403973853240,168851063896539138,6.10,6,17,6.10: Yucatan Yetis vs Pittsburgh Volts,Pending
Barrie Bald Boys,Beverly Hills Bobos,728437674305781851,268793849839747074,6.11,6,18,6.11: Barrie Bald Boys vs Beverly Hills Bobos,Pending
Boston Bobos,Vader Voltage Eastern,493582123618271233,775066600062844948,6.12,6,18,6.12: Boston Bobos vs Vader Voltage Eastern,Pending
Miami Muffins,Champaign Champagne,981750527153016903,394270328496586754,6.13,6,18,6.13: Miami Muffins vs Champaign Champagne,Pending
Pittsburgh Volts,Ottawa Valley Puck Slappers,168851063896539138,334537409134067723,6.14,6,18,6.14: Pittsburgh Volts vs Ottawa Valley Puck Slappers,Pending
Yucatan Yetis,Long Island Lightning,672979403973853240,901949665958834216,6.15,6,18,6.15: Yucatan Yetis vs Long Island Lightning,Pending
