Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Okinawa Generations,Quebec Flare,719724468028702750,663943695493758991,6.1,6,15,6.1: Okinawa Generations vs Quebec Flare,Pending
Pawnee Post Syrup Intake Authority,Cold Lake Upper Deckies,694776253982572605,449703678585339915,6.2,6,15,6.2: Pawnee Post Syrup Intake Authority vs Cold Lake Upper Deckies,Pending
Vader Stars,Vader Eastern Attackers,1077419089535979681,775066600062844948,6.3,6,15,6.3: Vader Stars vs Vader Eastern Attackers,Pending
Delco Dog Dads,Ottawa Valley Post Dingers,132907024538271744,103862145237655552,6.4,6,15,6.4: Delco Dog Dads vs Ottawa Valley Post Dingers,Pending
Edmonton Bears,Camden Crooks,662288477001613313,593566495762808842,6.5,6,15,6.5: Edmonton Bears vs Camden Crooks,Pending
Vader Wookies,Seattle Cyclones,232645440657424386,712404207042297898,6.6,6,15,6.6: Vader Wookies vs Seattle Cyclones,Pending
Cold Lake Upper Deckies,Vader Stars,449703678585339915,1077419089535979681,6.7,6,16,6.7: Cold Lake Upper Deckies vs Vader Stars,Pending
Quebec Flare,Pawnee Post Syrup Intake Authority,663943695493758991,694776253982572605,6.8,6,16,6.8: Quebec Flare vs Pawnee Post Syrup Intake Authority,Pending
Vader Eastern Attackers,Okinawa Generations,775066600062844948,719724468028702750,6.9,6,16,6.9: Vader Eastern Attackers vs Okinawa Generations,Pending
Camden Crooks,Vader Wookies,593566495762808842,232645440657424386,6.10,6,16,6.10: Camden Crooks vs Vader Wookies,Pending
Ottawa Valley Post Dingers,Edmonton Bears,103862145237655552,662288477001613313,6.11,6,16,6.11: Ottawa Valley Post Dingers vs Edmonton Bears,Pending
Seattle Cyclones,Delco Dog Dads,712404207042297898,132907024538271744,6.12,6,16,6.12: Seattle Cyclones vs Delco Dog Dads,
