Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Yukon Yetis,Barcelona Bobos Prep Academy,672979403973853240,268793849839747074,4.4,4,9,4.4: Yukon Yetis vs Barcelona Bobos Prep Academy,Pending
Barcelona Bobos Prep Academy,Barrie Belgian Waffles,268793849839747074,728437674305781851,4.5,4,10,4.5: Barcelona Bobos Prep Academy vs Barrie Belgian Waffles,Pending
Baton Rouge Bobos,Detroit Droids,851281272290410546,981750527153016903,4.6,4,10,4.6: Baton Rouge Bobos vs Detroit Droids,Pending
Camrose Cats,Ottawa Valley Cool Cats,772362024314339329,334537409134067723,4.7,4,10,4.7: Camrose Cats vs Ottawa Valley Cool Cats,Pending
Vader Voltage - Central,Yukon Yetis,775066600062844948,672979403973853240,4.8,4,10,4.8: Vader Voltage - Central vs Yukon Yetis,Pending
Barcelona Bobos Prep Academy,Ottawa Valley Cool Cats,268793849839747074,334537409134067723,4.9,4,11,4.9: Barcelona Bobos Prep Academy vs Ottawa Valley Cool Cats,Pending
Barrie Belgian Waffles,Detroit Droids,728437674305781851,981750527153016903,4.10,4,11,4.10: Barrie Belgian Waffles vs Detroit Droids,Pending
Baton Rouge Bobos,Yukon Yetis,851281272290410546,672979403973853240,4.11,4,11,4.11: Baton Rouge Bobos vs Yukon Yetis,Pending
Camrose Cats,Vader Voltage - Central,772362024314339329,775066600062844948,4.12,4,11,4.12: Camrose Cats vs Vader Voltage - Central,Pending
Barcelona Bobos Prep Academy,Baton Rouge Bobos,268793849839747074,851281272290410546,5.1,5,12,5.1: Barcelona Bobos Prep Academy vs Baton Rouge Bobos,Pending
Barrie Belgian Waffles,Camrose Cats,728437674305781851,772362024314339329,5.2,5,12,5.2: Barrie Belgian Waffles vs Camrose Cats,Pending
Detroit Droids,Vader Voltage - Central,981750527153016903,775066600062844948,5.3,5,12,5.3: Detroit Droids vs Vader Voltage - Central,Pending
Yukon Yetis,Ottawa Valley Cool Cats,672979403973853240,334537409134067723,5.4,5,12,5.4: Yukon Yetis vs Ottawa Valley Cool Cats,Pending
Camrose Cats,Baton Rouge Bobos,772362024314339329,851281272290410546,5.5,5,13,5.5: Camrose Cats vs Baton Rouge Bobos,Pending
Ottawa Valley Cool Cats,Detroit Droids,334537409134067723,981750527153016903,5.6,5,13,5.6: Ottawa Valley Cool Cats vs Detroit Droids,Pending
Vader Voltage - Central,Barcelona Bobos Prep Academy,775066600062844948,268793849839747074,5.7,5,13,5.7: Vader Voltage - Central vs Barcelona Bobos Prep Academy,Pending
Yukon Yetis,Barrie Belgian Waffles,672979403973853240,728437674305781851,5.8,5,13,5.8: Yukon Yetis vs Barrie Belgian Waffles,Pending
Barcelona Bobos Prep Academy,Camrose Cats,268793849839747074,772362024314339329,5.9,5,14,5.9: Barcelona Bobos Prep Academy vs Camrose Cats,Pending
Barrie Belgian Waffles,Ottawa Valley Cool Cats,728437674305781851,334537409134067723,5.10,5,14,5.10: Barrie Belgian Waffles vs Ottawa Valley Cool Cats,Pending
Baton Rouge Bobos,Vader Voltage - Central,851281272290410546,775066600062844948,5.11,5,14,5.11: Baton Rouge Bobos vs Vader Voltage - Central,Pending
Detroit Droids,Yukon Yetis,981750527153016903,672979403973853240,5.12,5,14,5.12: Detroit Droids vs Yukon Yetis,Pending
