Home Team,Away Team,Home GM,Away GM,Id,Week,LR DATE,Thread Name,State
Vader Acolytes,Chicago Sky Scrapers,370757850076807178,401814913980432385,3.12,3,9,3.12: Vader Acolytes vs Chicago Sky Scrapers,Pending
Barrie Ice Hounds,Chicago Sky Scrapers,728437674305781851,401814913980432385,4.1,4,10,4.1: Barrie Ice Hounds vs Chicago Sky Scrapers,Pending
Greensboro Goosans,Beauport Lynx,1085012592034066464,1370186154640408696,4.2,4,10,4.2: Greensboro Goosans vs Beauport Lynx,Pending
North Carolina S.A.P,Arnold Ashtrays,746862522619002880,1116178444259164300,4.3,4,10,4.3: North Carolina S.A.P vs Arnold Ashtrays,Pending
Vader Acolytes,Ottawa Valley Slappers With Attitude,370757850076807178,334537409134067723,4.4,4,10,4.4: Vader Acolytes vs Ottawa Valley Slappers With Attitude,Pending
Arnold Ashtrays,Vader Acolytes,1116178444259164300,370757850076807178,4.5,4,11,4.5: Arnold Ashtrays vs Vader Acolytes,Pending
Atlanta Aces,Greensboro Goosans,419649626564722688,1085012592034066464,4.6,4,11,4.6: Atlanta Aces vs Greensboro Goosans,Pending
Beauport Lynx,North Carolina S.A.P,1370186154640408696,746862522619002880,4.7,4,11,4.7: Beauport Lynx vs North Carolina S.A.P,Pending
Ottawa Valley Slappers With Attitude,Barrie Ice Hounds,334537409134067723,728437674305781851,4.8,4,11,4.8: Ottawa Valley Slappers With Attitude vs Barrie Ice Hounds,Pending
Barrie Ice Hounds,Arnold Ashtrays,728437674305781851,1116178444259164300,4.9,4,12,4.9: Barrie Ice Hounds vs Arnold Ashtrays,Pending
Chicago Sky Scrapers,Ottawa Valley Slappers With Attitude,401814913980432385,334537409134067723,4.10,4,12,4.10: Chicago Sky Scrapers vs Ottawa Valley Slappers With Attitude,Pending
North Carolina S.A.P,Atlanta Aces,746862522619002880,419649626564722688,4.11,4,12,4.11: North Carolina S.A.P vs Atlanta Aces,Pending
Vader Acolytes,Beauport Lynx,370757850076807178,1370186154640408696,4.12,4,12,4.12: Vader Acolytes vs Beauport Lynx,Pending
Arnold Ashtrays,Chicago Sky Scrapers,1116178444259164300,401814913980432385,5.1,5,13,5.1: Arnold Ashtrays vs Chicago Sky Scrapers,Pending
Atlanta Aces,Vader Acolytes,419649626564722688,370757850076807178,5.2,5,13,5.2: Atlanta Aces vs Vader Acolytes,Pending
Beauport Lynx,Barrie Ice Hounds,1370186154640408696,728437674305781851,5.3,5,13,5.3: Beauport Lynx vs Barrie Ice Hounds,Pending
Greensboro Goosans,North Carolina S.A.P,1085012592034066464,746862522619002880,5.4,5,13,5.4: Greensboro Goosans vs North Carolina S.A.P,Pending
Barrie Ice Hounds,Atlanta Aces,728437674305781851,419649626564722688,5.5,5,14,5.5: Barrie Ice Hounds vs Atlanta Aces,Pending
Chicago Sky Scrapers,Beauport Lynx,401814913980432385,1370186154640408696,5.6,5,14,5.6: Chicago Sky Scrapers vs Beauport Lynx,Pending
Ottawa Valley Slappers With Attitude,Arnold Ashtrays,334537409134067723,1116178444259164300,5.7,5,14,5.7: Ottawa Valley Slappers With Attitude vs Arnold Ashtrays,Pending
Vader Acolytes,Greensboro Goosans,370757850076807178,1085012592034066464,5.8,5,14,5.8: Vader Acolytes vs Greensboro Goosans,Pending
Atlanta Aces,Chicago Sky Scrapers,419649626564722688,401814913980432385,5.9,5,15,5.9: Atlanta Aces vs Chicago Sky Scrapers,Pending
Beauport Lynx,Ottawa Valley Slappers With Attitude,1370186154640408696,334537409134067723,5.10,5,15,5.10: Beauport Lynx vs Ottawa Valley Slappers With Attitude,Pending
Greensboro Goosans,Barrie Ice Hounds,1085012592034066464,728437674305781851,5.11,5,15,5.11: Greensboro Goosans vs Barrie Ice Hounds,Pending
North Carolina S.A.P,Vader Acolytes,746862522619002880,370757850076807178,5.12,5,15,5.12: North Carolina S.A.P vs Vader Acolytes,Pending
Arnold Ashtrays,Beauport Lynx,1116178444259164300,1370186154640408696,6.1,6,16,6.1: Arnold Ashtrays vs Beauport Lynx,Pending
Barrie Ice Hounds,North Carolina S.A.P,728437674305781851,746862522619002880,6.2,6,16,6.2: Barrie Ice Hounds vs North Carolina S.A.P,Pending
Chicago Sky Scrapers,Greensboro Goosans,401814913980432385,1085012592034066464,6.3,6,16,6.3: Chicago Sky Scrapers vs Greensboro Goosans,Pending
Ottawa Valley Slappers With Attitude,Atlanta Aces,334537409134067723,419649626564722688,6.4,6,16,6.4: Ottawa Valley Slappers With Attitude vs Atlanta Aces,Pending
Atlanta Aces,Arnold Ashtrays,419649626564722688,1116178444259164300,6.5,6,17,6.5: Atlanta Aces vs Arnold Ashtrays,Pending
Greensboro Goosans,Ottawa Valley Slappers With Attitude,1085012592034066464,334537409134067723,6.6,6,17,6.6: Greensboro Goosans vs Ottawa Valley Slappers With Attitude,Pending
North Carolina S.A.P,Chicago Sky Scrapers,746862522619002880,401814913980432385,6.7,6,17,6.7: North Carolina S.A.P vs Chicago Sky Scrapers,Pending
Vader Acolytes,Barrie Ice Hounds,370757850076807178,728437674305781851,6.8,6,17,6.8: Vader Acolytes vs Barrie Ice Hounds,Pending
Arnold Ashtrays,Greensboro Goosans,1116178444259164300,1085012592034066464,6.9,6,18,6.9: Arnold Ashtrays vs Greensboro Goosans,Pending
Beauport Lynx,Atlanta Aces,1370186154640408696,419649626564722688,6.10,6,18,6.10: Beauport Lynx vs Atlanta Aces,Pending
Chicago Sky Scrapers,Vader Acolytes,401814913980432385,370757850076807178,6.11,6,18,6.11: Chicago Sky Scrapers vs Vader Acolytes,Pending
Ottawa Valley Slappers With Attitude,North Carolina S.A.P,334537409134067723,746862522619002880,6.12,6,18,6.12: Ottawa Valley Slappers With Attitude vs North Carolina S.A.P,Pending
