Home Team,Away Team,Home GM,Away GM,Id,Week,lr,Thread Name,State
Battle Creek Kings,Barrie Bag Chasers,231615312896720908,520793839301296128,5.1,5,13,5.1: Battle Creek Kings vs Barrie Bag Chasers,Pending
Brampton Cows,Atlantic City Zootiez$,482963349433483264,593566495762808842,5.2,5,13,5.2: Brampton Cows vs Atlantic City Zootiez$,Pending
Vader Inquisitors,Ottawa Valley Bass Slappers,447252603072675843,334537409134067723,5.3,5,13,5.3: Vader Inquisitors vs Ottawa Valley Bass Slappers,Pending
Vader Revanites,USHL Prospects,1077419089535979681,1007481647878393906,5.4,5,13,5.4: Vader Revanites vs USHL Prospects,Pending
Vader Saboteurs,Windy City Walruses,222108122272104450,554530333459087401,5.5,5,13,5.5: Vader Saboteurs vs Windy City Walruses,Pending
Vader Starkillers Central,Lakeshore Loons,503659339278581792,121683946818895872,5.6,5,13,5.6: Vader Starkillers Central vs Lakeshore Loons,Pending
Barrie Bag Chasers,Vader Starkillers Central,520793839301296128,503659339278581792,5.7,5,14,5.7: Barrie Bag Chasers vs Vader Starkillers Central,Pending
Brampton Cows,USHL Prospects,482963349433483264,1007481647878393906,5.8,5,14,5.8: Brampton Cows vs USHL Prospects,Pending
Vader Inquisitors,Windy City Walruses,447252603072675843,554530333459087401,5.9,5,14,5.9: Vader Inquisitors vs Windy City Walruses,Pending
Atlantic City Zootiez$,Vader Revanites,593566495762808842,1077419089535979681,5.10,5,14,5.10: Atlantic City Zootiez$ vs Vader Revanites,Pending
Battle Creek Kings,Lakeshore Loons,231615312896720908,121683946818895872,5.11,5,14,5.11: Battle Creek Kings vs Lakeshore Loons,Pending
Ottawa Valley Bass Slappers,Vader Saboteurs,334537409134067723,222108122272104450,5.12,5,14,5.12: Ottawa Valley Bass Slappers vs Vader Saboteurs,Pending
Brampton Cows,Vader Inquisitors,482963349433483264,447252603072675843,6.1,6,15,6.1: Brampton Cows vs Vader Inquisitors,Pending
USHL Prospects,Barrie Bag Chasers,1007481647878393906,520793839301296128,6.2,6,15,6.2: USHL Prospects vs Barrie Bag Chasers,Pending
Windy City Walruses,Vader Starkillers Central,554530333459087401,503659339278581792,6.3,6,15,6.3: Windy City Walruses vs Vader Starkillers Central,Pending
Battle Creek Kings,Ottawa Valley Bass Slappers,231615312896720908,334537409134067723,6.4,6,15,6.4: Battle Creek Kings vs Ottawa Valley Bass Slappers,Pending
Lakeshore Loons,Atlantic City Zootiez$,121683946818895872,593566495762808842,6.5,6,15,6.5: Lakeshore Loons vs Atlantic City Zootiez$,Pending
Vader Saboteurs,Vader Revanites,222108122272104450,1077419089535979681,6.6,6,15,6.6: Vader Saboteurs vs Vader Revanites,Pending
Barrie Bag Chasers,Windy City Walruses,520793839301296128,554530333459087401,6.7,6,16,6.7: Barrie Bag Chasers vs Windy City Walruses,Pending
Vader Inquisitors,USHL Prospects,447252603072675843,1007481647878393906,6.8,6,16,6.8: Vader Inquisitors vs USHL Prospects,Pending
Vader Starkillers Central,Brampton Cows,503659339278581792,482963349433483264,6.9,6,16,6.9: Vader Starkillers Central vs Brampton Cows,Pending
Atlantic City Zootiez$,Vader Saboteurs,593566495762808842,222108122272104450,6.10,6,16,6.10: Atlantic City Zootiez$ vs Vader Saboteurs,Pending
Ottawa Valley Bass Slappers,Lakeshore Loons,334537409134067723,121683946818895872,6.11,6,16,6.11: Ottawa Valley Bass Slappers vs Lakeshore Loons,Pending
Vader Revanites,Battle Creek Kings,1077419089535979681,231615312896720908,6.12,6,16,6.12: Vader Revanites vs Battle Creek Kings,Pending
