Timestamp,Your Discord Tag,Which Region are you signing up for?,Team Name,Team Abbreviation,Team Venue,Team Logo ,Will your team be using a General Manager (GM) ?,General Manager - Discord Tag,General Manager - Steam Name,General Manager - Slap ID,Captain - Discord Tag,Captain - Steam Name,Captain - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Player - Discord Tag,Player - Steam Name,Player - Slap ID,Pick one
6/13/2026 20:35:39,MAcademySammy88,Main Slapshot League (East),Greensboro Goosans,GOOS,The Goose Pen,https://drive.google.com/open?id=1DK0RIpdaop0GdVLngbXHfb2tS5IlTkkn,No,,,,MAcademySammy88,MAcademySammy88,978958,,,,EpiX,EpiX,865399,slinky wee,hog wild stunna,1547281,ove39,Overdrive,150797,lincolng4,lincolng4,1506689,Millie Bobby Brown
6/14/2026 22:07:22,Lilcricket,Central Slapshot League,Vader 66ers,V66,The Ruined Temple,https://drive.google.com/open?id=1KTIfuvlGQXp5PyP1y7Pc_AQH_OHG4Iw3,No,,,,Lilcricket,Lilcricket26,1287792,,,,Liquidpoo22,Liquidpoo22,1722341,XRevision ,XRevision ,1723185,,,,,,,Sydney Sweeney
6/15/2026 0:34:16,illumix2215,Main Slapshot League (East),Beauport Lynx,LYNX,Kittycat Center,,No,,,,illumix2215,illumix22,1000671,,,,assassinje123,assassinje123,1015166,ilovemusic0020,oskishimoski,2004442,,,,,,,john pork
6/15/2026 18:21:47,EggsThink,Main Slapshot League (East),Ottawa Valley Slappers With Attitude,S.W.A,Backside Slaps Stadium,,Yes,EggsThink,EggsThink,417498,,,,Inph1del,Inph1del,6803,Crayon,Crayon,61597,JGWentworth877-CashNow,JG Wentworth 877-Cash-Now,1591253,800-588-2300 Empire Today,800-588-2300 Empire Today,1591250,Glitch,Glitch,18350,Aubrey Plaza
6/15/2026 22:26:18,dion_e_sus,Main Slapshot League (East),Pawnee Post Syrup Intake Authority,PPSA,The Waffle Iron,https://drive.google.com/open?id=1McXZ42moiEHrzBiW2Mr--PaujMHJfU61,No,,,,dion_e_sus,Dionysus,87468,,,,zork7802,Topil,1781804,jarjar7213,Securitron MK II,67088,giraffekiller,GiraffeKiller,1314542,rigs18,RIGSjr,9265,Anya Taylor-Joy
6/16/2026 9:13:54,jenediahh,Main Slapshot League (East),Beverly Hills Bobos,BHB,Bobos Barn,https://drive.google.com/open?id=1vi4xcT1Q4xVby4-TRAtSAG_Mi_Pqy3Bi,No,,,,jenediahh,Jenediah,154305,,,,eliijjah,Eli,56239,enry47,Enry,178836,_charles.,Charles,122257,,,,Selena Gomez
6/16/2026 15:48:32,989Zel,Main Slapshot League (East),Edmonton Bears,EDM,The Bell Center,https://drive.google.com/open?id=18gyJeCyfBgbTdr5OABO42z-SFeyLjmqN,No,,,,,,,,,,989Zel,Zelviz,865092,gi12122,Carti,1320348,jeru_.,jeru,359314,macg44,vorq,244,Sydney Sweeney
6/16/2026 16:57:25,EggsThink,West Slapshot League,Ottawa Valley Sweatshirt And Friends,OVSF,The Brick House,https://drive.google.com/open?id=18LCzj4A-YXeB788VZIEeCqcOcef6BeoL,Yes,itshammahtime,Hammy,1483800,,,,EggsThink,EggsThink,417498,.maiaa._.,Maia,1269140,dominantsquare,kevin,594707,notg,Sweatshirt,1856285,LDG_Chaos,Chaos,1026914,Aubrey Plaza
6/16/2026 23:15:06,meenimizer,Central Slapshot League,Vader Saboteurs,VADS,The Sniper’s Nest,https://drive.google.com/open?id=1ZLeOGUOtYT7sz052pHb8bycyzQGB4Eh5,No,,,,meenimizer,meenimizer,439532,,,,pl4zma,pl4zma,636422,cybergoose,cybergoose,1199765,Basho,Basho,153665,,,,Gal Gadot
6/17/2026 1:41:01,picklenickle,Main Slapshot League (East),Miami Muffins,MUFF,The Bakery,https://drive.google.com/open?id=1bDrwUAC6fERMzzjEdaqoZ0dQykLkIDCL,No,,,,picklenickle,gold,914959,,,,joeyyslaps,nutsack6,914448,hydroid.,Hydroid.,1836154,fadster12,FadsterΨ,915093,,,915093,jakefuture
6/17/2026 1:45:27,picklenickle,Central Slapshot League,Detroit Droids,DTD,Droid Arena,,No,,,,picklenickle,gold,914959,,,,joeyyslaps,nutsack6,914448,7kajun,kajun,19508,hydroid.,Hydroid.,1836154,percosetz,Oblivion,1071429,Rihanna
6/17/2026 17:28:20,JIRIAS2,Main Slapshot League (East),Birmingham Bobos,BHBB,Birmingham Boboham Arena,https://drive.google.com/open?id=184jTNqZdn3MTSp0J-J4SZxwE1THZZ2ia,No,,,,JIRIAS2,JIRIAS2,1491869,,,,normalhumanboy,Normalhumanboy,265889,cleanedagain,bqvh,1432097,coggs1,cheesed,2105273,real_snark.algo,Snark,5400,Tessa Thompson
6/17/2026 17:33:31,Jenediah,Main Slapshot League (East),Bedford Bobos Preparatory Academy ,BBPA,Bobos Outdoor Barn,,No,,,,justclevername,Clever,1592510,,,,aweror,Jonny,178325,hadesnuttz,Headass,173111,robber34,x6c,871020,itshammahtime,Hammy,1483800,Elizabeth Gillies
6/17/2026 19:36:24,Tetraboxygen,Main Slapshot League (East),Vader Wookies,WOOK,The Millennium Falcon,https://drive.google.com/open?id=1DLcpcBOMomBnGim4VGov--Sg9IaZCYCK,No,,,,Tetraboxygen,>:),72269,,,,dorachipeur,Max,818797,Ghostwalker,Ghostwalker,1439105,Papi Tef,Papi Tef,472364,,,,me
6/17/2026 21:07:50,dominantsquare,Main Slapshot League (East),Champaign Champagne,CHA,Sparkling Ice Arena,https://drive.google.com/open?id=1eAN2GXkoLFoY47Gtht8CwnkPl72ogj-K,Yes,.maia._27.,Maia,1269140,,,,dominantsquare,kevin,594707,axe_f1,axe,1202794,vtweek,Tweek,985994,notg,Sweatshirt,1856285,ldg_chaos,chaos,1026914,Salt and Vinegar
6/17/2026 23:38:44,cvrsed_,Central Slapshot League,Brampton Cows,BRC,The Big Barn,https://drive.google.com/open?id=1UetE0LyLyVtQ2fC8YSeCKahd_pd6OvAY,No,,,,cvrsed_,Tactical Miss,1282529,,,,lucacas4410,lacaaas,186627,guccimaneflick,Saucy :(,758362,penguin_pro,LIT,633338,,,,Zendaya
6/18/2026 9:16:31,alt.07,Main Slapshot League (East),Atlanta Aces,Atl,Spade Arena,https://drive.google.com/open?id=1kxEMBGsfzCONs3XXCgBn0n5PF5L1pAhs,No,,,,alt.07,[ATL]Alt,24807,,,,joe07854,[ATL]Joe,6799,altaccound244,poops,819088,,,,,,,Margot Robbie
6/18/2026 10:57:22,wads___,Main Slapshot League (East),Seattle Cyclones,SEA,Climate Pledge Arena,https://drive.google.com/open?id=1r5KjiDTYNgqQ2FQ5tjevkYwDgWrJOPop,No,,,,wads___,wads,962536,,,,gronk1287,Gronk,1232982,yoyoonmobile,Conpeylil,1009691,,,,,,,
6/18/2026 13:42:31,Looees7,Main Slapshot League (East),Gary Glizzy Gobblers,GGG,Mardi Gras Arena,https://drive.google.com/open?id=1IZLLIIAMuY7wJvi6adt0BTQgHD_yZMxR,No,,,,Looees7,Looees,281017,,,,easyxice42,Skeetshooter42,1329800,cheddx,Cheddx,8081,plezo,PleZo ,174650,.yalk,Fee dup laybach,1528532,Salt and Vinegar
6/18/2026 15:01:23,_withdrawals,Main Slapshot League (East),Vader Stars,VAS,The Death Star,,No,,,,_withdrawals,withdrawals,1326629,,,,Sylvatic.,Sylvatic,406789,timmy69_,Timmy,40,patriotichockey14,Mcnulty,600238,penguin_pro,LIT,633338,Margot Robbie
6/18/2026 15:05:18,_withdrawals,Central Slapshot League,Vader Revanites,VADR,The House of Malek,,No,,,,_withdrawals,withdrawals,1326629,,,,Sylvatic.,Sylvatic,406789,dorachipeur,CheekyBathtub69,818797,ammcclain,901x Amac,1362725,,,,Margot Robbie
6/18/2026 15:30:08,Galalendon,Main Slapshot League (East),Vader Whiteout,VADW,Hoth Training Rink,https://drive.google.com/open?id=16J__Ap2T01_Z5kAkS3dpWh0jmaN9ieOr,No,,,,biggiebag420,BiggieBag,1288337,,,,Galalendon,Galalendon,249493,LilCricket,LilCricket,1287792,MaxZombieJaws,MaxZombieJaws,1124512,,,,Aubrey Plaza
